Source	Dests
Santa Maria-Santa Barbara, CA Metro Area	
Santa Rosa, CA Metro Area	San Francisco-Oakland-Hayward, CA Metro Area
Savannah, GA Metro Area	
Scranton--Wilkes-Barre--Hazleton, PA Metro Area	
Seattle-Tacoma-Bellevue, WA Metro Area	Bellingham, WA Metro Area+Bremerton-Silverdale, WA Metro Area+Los Angeles-Long Beach-Anaheim, CA Metro Area+Olympia-Tumwater, WA Metro Area+Phoenix-Mesa-Scottsdale, AZ Metro Area+Portland-Vancouver-Hillsboro, OR-WA Metro Area+Spokane-Spokane Valley, WA Metro Area
Sebastian-Vero Beach, FL Metro Area	
Sebring, FL Metro Area	
Sheboygan, WI Metro Area	
Sherman-Denison, TX Metro Area	
Shreveport-Bossier City, LA Metro Area	
Sierra Vista-Douglas, AZ Metro Area	
Sioux City, IA-NE-SD Metro Area	
Sioux Falls, SD Metro Area	
South Bend-Mishawaka, IN-MI Metro Area	
Spartanburg, SC Metro Area	
Spokane-Spokane Valley, WA Metro Area	
Springfield, IL Metro Area	
Springfield, MA Metro Area	Boston-Cambridge-Newton, MA-NH Metro Area
Springfield, MO Metro Area	
Springfield, OH Metro Area	
St. Cloud, MN Metro Area	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area
St. George, UT Metro Area	
St. Joseph, MO-KS Metro Area	
St. Louis, MO-IL Metro Area	Chicago-Naperville-Elgin, IL-IN-WI Metro Area+Springfield, MO Metro Area
State College, PA Metro Area	
Staunton-Waynesboro, VA Metro Area	
Stockton-Lodi, CA Metro Area	
Sumter, SC Metro Area	
Syracuse, NY Metro Area	
Tallahassee, FL Metro Area	
Tampa-St. Petersburg-Clearwater, FL Metro Area	Lakeland-Winter Haven, FL Metro Area+Miami-Fort Lauderdale-West Palm Beach, FL Metro Area+Orlando-Kissimmee-Sanford, FL Metro Area
Terre Haute, IN Metro Area	
Texarkana, TX-AR Metro Area	
The Villages, FL Metro Area	
Toledo, OH Metro Area	
Topeka, KS Metro Area	
Trenton, NJ Metro Area	New York-Newark-Jersey City, NY-NJ-PA Metro Area+Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area
Tucson, AZ Metro Area	Phoenix-Mesa-Scottsdale, AZ Metro Area
Tulsa, OK Metro Area	Oklahoma City, OK Metro Area
Tuscaloosa, AL Metro Area	
Tyler, TX Metro Area	
Utica-Rome, NY Metro Area	
Valdosta, GA Metro Area	
Vallejo-Fairfield, CA Metro Area	San Francisco-Oakland-Hayward, CA Metro Area
Victoria, TX Metro Area	
Vineland-Bridgeton, NJ Metro Area	
Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	Richmond, VA Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
Visalia-Porterville, CA Metro Area	
Waco, TX Metro Area	
Walla Walla, WA Metro Area	
Warner Robins, GA Metro Area	
Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	Baltimore-Columbia-Towson, MD Metro Area+Blacksburg-Christiansburg-Radford, VA Metro Area+Boston-Cambridge-Newton, MA-NH Metro Area+Hagerstown-Martinsburg, MD-WV Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area+Richmond, VA Metro Area+Virginia Beach-Norfolk-Newport News, VA-NC Metro Area
Waterloo-Cedar Falls, IA Metro Area	
Watertown-Fort Drum, NY Metro Area	
Wausau, WI Metro Area	
Weirton-Steubenville, WV-OH Metro Area	
Wenatchee, WA Metro Area	
Wheeling, WV-OH Metro Area	
Wichita Falls, TX Metro Area	
Wichita, KS Metro Area	
Williamsport, PA Metro Area	
Wilmington, NC Metro Area	
Winchester, VA-WV Metro Area	
Winston-Salem, NC Metro Area	Greensboro-High Point, NC Metro Area
Worcester, MA-CT Metro Area	Boston-Cambridge-Newton, MA-NH Metro Area
Yakima, WA Metro Area	
York-Hanover, PA Metro Area	
Youngstown-Warren-Boardman, OH-PA Metro Area	
Yuba City, CA Metro Area	
Yuma, AZ Metro Area	
