ID	Source	SOURCE_coord	Dest	DEST_coord  count
160	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	1423
161	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	1912
162	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	4103
163	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Manchester-Nashua, NH Metro Area	 42.9956397,-71.4547891	7830
164	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	3587
165	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	10560
166	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	2583
167	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Portland-South Portland, ME Metro Area	 43.6591,-70.2568	3891
168	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	1112
169	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Providence-Warwick, RI-MA Metro Area	 41.8240,-71.4128	14371
170	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Raleigh, NC Metro Area	 35.7803977,-78.6390989	1041
171	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Rochester, NY Metro Area	 43.1854754,-77.6106861508176	1019
172	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	1109
173	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	3170
174	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	1076
175	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	1463
176	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Springfield, MA Metro Area	 42.1014831,-72.589811	6473
177	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1248
