ID	Source	SOURCE_coord	Dest	DEST_coord
155	Oxnard-Thousand Oaks-Ventura, CA Metro Area	 34.1976308,-119.1803818	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	9102
156	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	4541
157	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	5146
158	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	18130
159	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	Pittsburgh, PA Metro Area	 40.4416941,-79.9900861	4495
160	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	Reading, PA Metro Area	 40.335345,-75.9279495	4834
161	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	6808
162	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	Flagstaff, AZ Metro Area	 35.199458,-111.6514259	4885
163	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	6208
164	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4110
165	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	Prescott, AZ Metro Area	 34.5399962,-112.4687616	4274
166	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	4268
167	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	Tucson, AZ Metro Area	 32.2218917,-110.9262353	11208
168	Port St. Lucie, FL Metro Area	 27.2939333,-80.3503283	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	4056
169	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	Salem, OR Metro Area	 44.9391565,-123.033121	6172
170	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	7526
171	Providence-Warwick, RI-MA Metro Area	 41.8240,-71.4128	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	12220
