ID	Source	SOURCE_coord	Dest	DEST_coord	count
126	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	Columbus, OH Metro Area	 39.9622601,-83.0007065	5692
127	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	Dayton, OH Metro Area	 39.7589478,-84.1916069	5240
128	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	Lexington-Fayette, KY Metro Area	 38.0464066,-84.4970393	2316
129	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	Akron, OH Metro Area	 41.083064,-81.518485	8605
130	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	2334
131	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	Columbus, OH Metro Area	 39.9622601,-83.0007065	6424
132	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	Toledo, OH Metro Area	 41.6786754,-83.5127283	2290
133	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2643
134	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4096
135	Colorado Springs, CO Metro Area	 38.8339578,-104.8253485	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	6842
136	Columbia, MO Metro Area	 38.951883,-92.3337366	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	2070
137	Columbia, SC Metro Area	 34.0007493,-81.0343313	Charleston-North Charleston, SC Metro Area	 32.7876012,-79.9402728	2280
138	Columbia, SC Metro Area	 34.0007493,-81.0343313	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3115
139	Columbia, SC Metro Area	 34.0007493,-81.0343313	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	2785
140	Columbus, GA-AL Metro Area	 32.4609764,-84.9877094	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2717
141	Columbus, GA-AL Metro Area	 32.4609764,-84.9877094	Auburn-Opelika, AL Metro Area	 41.4767352,-81.1443658	2132
142	Columbus, OH Metro Area	 39.9622601,-83.0007065	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	5212
143	Columbus, OH Metro Area	 39.9622601,-83.0007065	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	3156
144	Columbus, OH Metro Area	 39.9622601,-83.0007065	Dayton, OH Metro Area	 39.7589478,-84.1916069	2777
145	Corpus Christi, TX Metro Area	 27.8002542,-97.3955744	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	2669
146	Corpus Christi, TX Metro Area	 27.8002542,-97.3955744	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	2945
147	Corvallis, OR Metro Area	 44.5645659,-123.2620435	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	2154
148	Crestview-Fort Walton Beach-Destin, FL Metro Area	 30.7621326,-86.5705084	Pensacola-Ferry Pass-Brent, FL Metro Area	 30.421309,-87.2169149	2599
149	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Abilene, TX Metro Area	 32.4466741,-99.7333011	3473
150	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3113
151	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	11931
