metro,white_value,white_rank,black_value,black_rank,asian_value,asian_rank,other_value,other_rank
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.003512987488842714,62,0.002404919896168274,93.0,0.00234423995615485,71.0,0.004055997990857065,53
"Lakeland-Winter Haven, FL Metro Area",0.003500271780379295,63,0.003275325280202563,66.0,0.0014268123798023148,131.0,0.0025766797734306066,85
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.003475537889023235,64,0.002278326544513065,100.0,0.0014899328273222962,124.0,0.0018938077230128425,129
"Dayton, OH Metro Area",0.0034189288046814086,65,0.004523237503925913,48.0,0.001966941052129158,90.0,0.0015630155741929253,161
"Omaha-Council Bluffs, NE-IA Metro Area",0.003388391586907741,66,0.002886401847201787,76.0,0.0020586024926289317,84.0,0.0033297108084971365,64
"Durham-Chapel Hill, NC Metro Area",0.003333932518168058,67,0.004554433857601578,47.0,0.0041777507164072,47.0,0.002836460826985048,76
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.003307664500146892,68,0.0016762751076498997,140.0,0.0014362673497205817,129.0,0.0021454609654360307,113
"Bakersfield, CA Metro Area",0.0032796022330624946,69,0.0038696906455908705,59.0,0.00196686809229217,91.0,0.004541820758823273,44
"Salem, OR Metro Area",0.0031996986352323346,70,0.0011753465810218717,194.0,0.0015889464664270415,114.0,0.004059545977413271,52
"Tulsa, OK Metro Area",0.003156570598161029,71,0.002933555700210984,73.0,0.002195424054954158,79.0,0.005851006641552906,35
"Boise City, ID Metro Area",0.0031535012121264513,72,0.000952661926813936,242.0,0.0016359297300425999,109.0,0.002436728115667735,94
"Hartford-West Hartford-East Hartford, CT Metro Area",0.003032536872814307,73,0.0028536673156227296,77.0,0.004864710678878169,41.0,0.0037529262390053786,59
"Ann Arbor, MI Metro Area",0.003013629931703312,74,0.002382506188228325,95.0,0.005150966007290814,38.0,0.0024707241978091338,92
"Provo-Orem, UT Metro Area",0.002983502502867777,75,0.0012096577092802112,186.0,0.001329940733319156,141.0,0.0014745427285842749,168
"Asheville, NC Metro Area",0.002978506857475627,76,0.0015088682141123474,155.0,0.0011232319610978987,153.0,0.0018918922698923327,131
"Albuquerque, NM Metro Area",0.00294010214311731,77,0.00128125155086188,176.0,0.0008560361609035942,189.0,0.005777462207265762,36
"Memphis, TN-MS-AR Metro Area",0.0029192241402278716,78,0.006994419842325689,32.0,0.0019950333022300645,87.0,0.002088347591648904,115
"Port St. Lucie, FL Metro Area",0.002913252679035213,79,0.0020808929100470017,110.0,0.0010452987847753379,167.0,0.0017503888095428282,141
"Baton Rouge, LA Metro Area",0.0029070930053734264,80,0.00574079820502277,37.0,0.002172069250016457,81.0,0.0016103169452765876,157
"Greensboro-High Point, NC Metro Area",0.00282474755702154,81,0.0056055744709750015,38.0,0.0018445525781310155,97.0,0.0024118852093972256,96
"Rochester, NY Metro Area",0.0028144619476138423,82,0.002337215780728611,97.0,0.002850745608221861,61.0,0.002069600005201723,119
"Boulder, CO Metro Area",0.0028127606691982256,83,0.0005747439337385849,330.0,0.0018910896286202822,94.0,0.002505395025876502,89
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.002780761428117549,84,0.0010245875217384365,222.0,0.003259466836539125,58.0,0.0034695357828873606,62
"Augusta-Richmond County, GA-SC Metro Area",0.0027701454178151977,85,0.005539698941995279,39.0,0.0022042255953388565,78.0,0.002204159576230018,111
"Corpus Christi, TX Metro Area",0.002673465314339435,86,0.0015502426390950764,153.0,0.0008883997375964837,185.0,0.0010914611889622494,224
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.002640676591194592,87,0.001959829307224047,120.0,0.0024089831920114267,69.0,0.0038810752221851413,57
"Lexington-Fayette, KY Metro Area",0.0026326340297333677,88,0.0017096032724921916,139.0,0.0015820600510017052,115.0,0.0018591877832348554,135
"Winston-Salem, NC Metro Area",0.0026310688470069267,89,0.004189566924969028,50.0,0.0015455688827426446,119.0,0.0017594296234751674,139
"Albany-Schenectady-Troy, NY Metro Area",0.0026201605569331444,90,0.0020446661196755023,112.0,0.003631503733471804,52.0,0.0022354115892590015,108
"El Paso, TX Metro Area",0.002614579822202132,91,0.002929362198252107,74.0,0.0014734293257627849,126.0,0.00390787917440926,56
"Fresno, CA Metro Area",0.0025954522168849248,92,0.0024524654691806653,90.0,0.004918512974350019,40.0,0.006624407400760112,33
"Eugene, OR Metro Area",0.002542271158665888,93,0.0019390347672661344,123.0,0.002331618531391382,74.0,0.0024923117971264457,90
"Savannah, GA Metro Area",0.002535488714843555,94,0.004150079800694698,52.0,0.0013474490576265285,140.0,0.0019094795273888183,128
"Ogden-Clearfield, UT Metro Area",0.0025320689342797666,95,0.0007182513428316236,293.0,0.0007689906069473507,221.0,0.0019805526090397136,123
"Spokane-Spokane Valley, WA Metro Area",0.0025269502812759644,96,0.0009258528915703739,245.0,0.0011218238448409692,154.0,0.0031582121415794345,68
"Chattanooga, TN-GA Metro Area",0.002513016213300748,97,0.00195826772313504,121.0,0.001643717991725263,108.0,0.0018285618597028398,137
"Little Rock-North Little Rock-Conway, AR Metro Area",0.0025128964339576907,98,0.003105666552284593,69.0,0.0015353471646195487,120.0,0.0020368749275340484,121
